strain	date	country
1978.500	1978-01-01	BKK
1979.500	1979-01-01	BKK
1982.500	1982-01-01	BKK
1985.288	1985-01-01	BKK
1985.5	1985-01-01	Thailand
1985.5_2	1985-01-01	Thailand
1993.5	1993-01-01	
1994.025	1994-01-01	BKK
1994.030	1994-01-01	BKK
1994.074	1994-01-01	BKK
1994.151	1994-01-01	BKK
1994.162	1994-01-01	BKK
1994.345	1994-01-01	BKK
1994.351	1994-01-01	BKK
1994.488	1994-01-01	BKK
1994.488_2	1994-01-01	BKK
1994.5	1994-01-01	KPP
1994.5_2	1994-01-01	KPP
1994.5_3	1994-01-01	KPP
1994.5_4	1994-01-01	KPP
1994.5_5	1994-01-01	KPP
1994.5_6	1994-01-01	KPP
1994.5_7	1994-01-01	KPP
1994.5_8	1994-01-01	KPP
1994.5_9	1994-01-01	KPP
1994.5_10	1994-01-01	KPP
1994.5_11	1994-01-01	KPP
1994.5_12	1994-01-01	KPP
1994.5_13	1994-01-01	KPP
1994.512	1994-01-01	BKK
1994.521	1994-01-01	BKK
1994.575	1994-01-01	BKK
1994.592	1994-01-01	KPP
1994.611	1994-01-01	BKK
1994.625	1994-01-01	BKK
1994.633	1994-01-01	BKK
1994.636	1994-01-01	BKK
1994.712	1994-01-01	BKK
1994.712_2	1994-01-01	BKK
1994.748	1994-01-01	BKK
1994.797	1994-01-01	BKK
1994.97	1994-01-01	BKK
1995.027	1995-01-01	BKK
1995.09	1995-01-01	BKK
1995.11	1995-01-01	BKK
1995.208	1995-01-01	BKK
1995.241	1995-01-01	BKK
1995.241_2	1995-01-01	KPP
1995.315	1995-01-01	BKK
1995.326	1995-01-01	KPP
1995.46	1995-01-01	BKK
1995.534	1995-01-01	BKK
1995.775	1995-01-01	BKK
1995.888	1995-01-01	BKK
1996.407	1996-01-01	BKK
1996.571	1996-01-01	BKK
1996.749	1996-01-01	BKK
1997.022	1997-01-01	BKK
1997.564	1997-01-01	BKK
1998.611	1998-01-01	BKK
1998.663	1998-01-01	BKK
1998.693	1998-01-01	BKK
1998.784	1998-01-01	BKK
1998.8	1998-01-01	BKK
1998.871	1998-01-01	BKK
1998.879	1998-01-01	BKK
1999.003	1999-01-01	BKK
1999.011	1999-01-01	BKK
1999.055	1999-01-01	BKK
1999.058	1999-01-01	BKK
1999.063	1999-01-01	BKK
