strain	date	country	genotype	accession	extra
DENV1/THAILAND/2006/00002/06	2006-01-01	THAILAND	DENV1	00002	06
DENV1/THAILAND/2011/00002/11	2011-01-01	THAILAND	DENV1	00002	11
DENV1/THAILAND/2006/00003/06	2006-01-01	THAILAND	DENV1	00003	06
DENV1/THAILAND/2006/00004/06	2006-01-01	THAILAND	DENV1	00004	06
DENV1/THAILAND/2006/00006/06	2006-01-01	THAILAND	DENV1	00006	06
DENV1/THAILAND/2006/00007/06	2006-01-01	THAILAND	DENV1	00007	06
DENV1/THAILAND/2006/00010/06	2006-01-01	THAILAND	DENV1	00010	06
DENV1/THAILAND/1997/00012/97	1997-01-01	THAILAND	DENV1	00012	97
DENV1/THAILAND/2006/00030/06	2006-01-01	THAILAND	DENV1	00030	06
DENV1/THAILAND/2011/00046/11	2011-01-01	THAILAND	DENV1	00046	11
DENV1/THAILAND/2001/00047/01	2001-01-01	THAILAND	DENV1	00047	01
DENV1/THAILAND/2006/00048/06	2006-01-01	THAILAND	DENV1	00048	06
DENV1/THAILAND/2011/00055/11	2011-01-01	THAILAND	DENV1	00055	11
DENV1/THAILAND/2013/00059/13	2013-01-01	THAILAND	DENV1	00059	13
DENV1/THAILAND/2004/00062/04	2004-01-01	THAILAND	DENV1	00062	04
DENV1/THAILAND/2013/00062/13	2013-01-01	THAILAND	DENV1	00062	13
DENV1/THAILAND/1994/00066/94	1994-01-01	THAILAND	DENV1	00066	94
DENV1/THAILAND/2004/00068/04	2004-01-01	THAILAND	DENV1	00068	04
DENV1/THAILAND/2006/00068/06	2006-01-01	THAILAND	DENV1	00068	06
DENV1/THAILAND/2006/00069/06	2006-01-01	THAILAND	DENV1	00069	06
DENV1/THAILAND/2006/00074/06	2006-01-01	THAILAND	DENV1	00074	06
DENV1/THAILAND/2006/00080/06	2006-01-01	THAILAND	DENV1	00080	06
DENV1/THAILAND/2004/00088/04	2004-01-01	THAILAND	DENV1	00088	04
DENV1/THAILAND/2013/00090/13	2013-01-01	THAILAND	DENV1	00090	13
DENV1/THAILAND/1991/00098/91	1991-01-01	THAILAND	DENV1	00098	91
DENV1/THAILAND/2005/00109/05	2005-01-01	THAILAND	DENV1	00109	05
DENV1/THAILAND/2006/00113/06	2006-01-01	THAILAND	DENV1	00113	06
DENV1/THAILAND/1997/00115/97	1997-01-01	THAILAND	DENV1	00115	97
DENV1/THAILAND/1998/00141/98	1998-01-01	THAILAND	DENV1	00141	98
DENV1/THAILAND/2000/00163/00	2000-01-01	THAILAND	DENV1	00163	00
DENV1/THAILAND/1994/00168/94	1994-01-01	THAILAND	DENV1	00168	94
DENV1/THAILAND/2003/00170/03	2003-01-01	THAILAND	DENV1	00170	03
DENV1/THAILAND/2006/00172/06	2006-01-01	THAILAND	DENV1	00172	06
DENV1/THAILAND/2005/00186/05	2005-01-01	THAILAND	DENV1	00186	05
DENV1/THAILAND/2006/00188/06	2006-01-01	THAILAND	DENV1	00188	06
DENV1/THAILAND/2001/00189/01	2001-01-01	THAILAND	DENV1	00189	01
DENV1/THAILAND/2013/00192/13	2013-01-01	THAILAND	DENV1	00192	13
DENV1/THAILAND/2006/00201/06	2006-01-01	THAILAND	DENV1	00201	06
DENV1/THAILAND/1995/00207/95	1995-01-01	THAILAND	DENV1	00207	95
DENV1/THAILAND/2005/00208/05	2005-01-01	THAILAND	DENV1	00208	05
DENV1/THAILAND/2006/00209/06	2006-01-01	THAILAND	DENV1	00209	06
DENV1/THAILAND/2005/00210/05	2005-01-01	THAILAND	DENV1	00210	05
DENV1/THAILAND/2005/00211/05	2005-01-01	THAILAND	DENV1	00211	05
DENV1/THAILAND/2006/00211/06	2006-01-01	THAILAND	DENV1	00211	06
DENV1/THAILAND/1994/00212/94	1994-01-01	THAILAND	DENV1	00212	94
DENV1/THAILAND/2006/00213/06	2006-01-01	THAILAND	DENV1	00213	06
DENV1/THAILAND/2014/00213/14	2014-01-01	THAILAND	DENV1	00213	14
DENV1/THAILAND/2004/00223/04	2004-01-01	THAILAND	DENV1	00223	04
DENV1/THAILAND/2006/00228/06	2006-01-01	THAILAND	DENV1	00228	06
DENV1/THAILAND/1995/00229/95	1995-01-01	THAILAND	DENV1	00229	95
DENV1/THAILAND/2006/00231/06	2006-01-01	THAILAND	DENV1	00231	06
DENV1/THAILAND/2006/00232/06	2006-01-01	THAILAND	DENV1	00232	06
DENV1/THAILAND/1998/00233/98	1998-01-01	THAILAND	DENV1	00233	98
DENV1/THAILAND/2006/00248/06	2006-01-01	THAILAND	DENV1	00248	06
DENV1/THAILAND/1995/00257/95	1995-01-01	THAILAND	DENV1	00257	95
DENV1/THAILAND/2005/00258/05	2005-01-01	THAILAND	DENV1	00258	05
DENV1/THAILAND/2004/00259/04	2004-01-01	THAILAND	DENV1	00259	04
DENV1/THAILAND/1999/00262/99	1999-01-01	THAILAND	DENV1	00262	99
DENV1/THAILAND/1994/00263/94	1994-01-01	THAILAND	DENV1	00263	94
DENV1/THAILAND/2006/00265/06	2006-01-01	THAILAND	DENV1	00265	06
DENV1/THAILAND/2013/00270/13	2013-01-01	THAILAND	DENV1	00270	13
DENV1/THAILAND/2011/00272/11	2011-01-01	THAILAND	DENV1	00272	11
DENV1/THAILAND/2003/00275/03	2003-01-01	THAILAND	DENV1	00275	03
DENV1/THAILAND/2006/00287/06	2006-01-01	THAILAND	DENV1	00287	06
DENV1/THAILAND/1995/00288/95	1995-01-01	THAILAND	DENV1	00288	95
DENV1/THAILAND/2013/00297/13	2013-01-01	THAILAND	DENV1	00297	13
DENV1/THAILAND/2012/00305/12	2012-01-01	THAILAND	DENV1	00305	12
DENV1/THAILAND/2005/00306/05	2005-01-01	THAILAND	DENV1	00306	05
DENV1/THAILAND/2003/00311/03	2003-01-01	THAILAND	DENV1	00311	03
DENV1/THAILAND/2006/00318/06	2006-01-01	THAILAND	DENV1	00318	06
DENV1/THAILAND/2006/00326/06	2006-01-01	THAILAND	DENV1	00326	06
DENV1/THAILAND/2011/00330/11	2011-01-01	THAILAND	DENV1	00330	11
DENV1/THAILAND/2006/00332/06	2006-01-01	THAILAND	DENV1	00332	06
DENV1/THAILAND/2006/00334/06	2006-01-01	THAILAND	DENV1	00334	06
DENV1/THAILAND/2013/00343/13	2013-01-01	THAILAND	DENV1	00343	13
DENV1/THAILAND/2012/00346/12	2012-01-01	THAILAND	DENV1	00346	12
DENV1/THAILAND/2003/00348/03	2003-01-01	THAILAND	DENV1	00348	03
DENV1/THAILAND/2003/00349/03	2003-01-01	THAILAND	DENV1	00349	03
DENV1/THAILAND/2011/00349/11	2011-01-01	THAILAND	DENV1	00349	11
DENV1/THAILAND/1994/00350/94	1994-01-01	THAILAND	DENV1	00350	94
DENV1/THAILAND/2001/00355/01	2001-01-01	THAILAND	DENV1	00355	01
DENV1/THAILAND/2011/00358/11	2011-01-01	THAILAND	DENV1	00358	11
DENV1/THAILAND/2012/00358/12	2012-01-01	THAILAND	DENV1	00358	12
DENV1/THAILAND/2006/00365/06	2006-01-01	THAILAND	DENV1	00365	06
DENV1/THAILAND/1999/00365/99	1999-01-01	THAILAND	DENV1	00365	99
DENV1/THAILAND/2004/00369/04	2004-01-01	THAILAND	DENV1	00369	04
DENV1/THAILAND/2006/00369/06	2006-01-01	THAILAND	DENV1	00369	06
DENV1/THAILAND/2006/00371/06	2006-01-01	THAILAND	DENV1	00371	06
DENV1/THAILAND/2003/00373/03	2003-01-01	THAILAND	DENV1	00373	03
DENV1/THAILAND/1996/00375/96	1996-01-01	THAILAND	DENV1	00375	96
DENV1/THAILAND/1997/00377/97	1997-01-01	THAILAND	DENV1	00377	97
DENV1/THAILAND/1999/00380/99	1999-01-01	THAILAND	DENV1	00380	99
DENV1/THAILAND/1997/00382/97	1997-01-01	THAILAND	DENV1	00382	97
DENV1/THAILAND/2006/00392/06	2006-01-01	THAILAND	DENV1	00392	06
DENV1/THAILAND/1994/00395/94	1994-01-01	THAILAND	DENV1	00395	94
DENV1/THAILAND/2006/00398/06	2006-01-01	THAILAND	DENV1	00398	06
DENV1/THAILAND/1995/00410/95	1995-01-01	THAILAND	DENV1	00410	95
DENV1/THAILAND/2006/00411/06	2006-01-01	THAILAND	DENV1	00411	06
DENV1/THAILAND/1999/00413/99	1999-01-01	THAILAND	DENV1	00413	99
DENV1/THAILAND/2006/00418/06	2006-01-01	THAILAND	DENV1	00418	06
DENV1/THAILAND/1998/00422/98	1998-01-01	THAILAND	DENV1	00422	98
DENV1/THAILAND/1994/00424/94	1994-01-01	THAILAND	DENV1	00424	94
DENV1/THAILAND/2003/00427/03	2003-01-01	THAILAND	DENV1	00427	03
DENV1/THAILAND/1998/00428/98	1998-01-01	THAILAND	DENV1	00428	98
DENV1/THAILAND/2002/00431/02	2002-01-01	THAILAND	DENV1	00431	02
DENV1/THAILAND/2011/00432/11	2011-01-01	THAILAND	DENV1	00432	11
DENV1/THAILAND/2004/00436/04	2004-01-01	THAILAND	DENV1	00436	04
DENV1/THAILAND/2006/00437/06	2006-01-01	THAILAND	DENV1	00437	06
DENV1/THAILAND/1982/00437/82	1982-01-01	THAILAND	DENV1	00437	82
