strain	date	country	genotype	accession	extra
DENV1/THAILAND/2006/00438/06	2006-01-01	THAILAND	DENV1	00438	06
DENV1/THAILAND/2002/00440/02	2002-01-01	THAILAND	DENV1	00440	02
DENV1/THAILAND/1998/00442/98	1998-01-01	THAILAND	DENV1	00442	98
DENV1/THAILAND/2006/00443/06	2006-01-01	THAILAND	DENV1	00443	06
DENV1/THAILAND/2014/00444/14	2014-01-01	THAILAND	DENV1	00444	14
DENV1/THAILAND/2013/00456/13	2013-01-01	THAILAND	DENV1	00456	13
DENV1/THAILAND/2006/00458/06	2006-01-01	THAILAND	DENV1	00458	06
DENV1/THAILAND/2006/00462/06	2006-01-01	THAILAND	DENV1	00462	06
DENV1/THAILAND/1995/00471/95	1995-01-01	THAILAND	DENV1	00471	95
DENV1/THAILAND/1998/00473/98	1998-01-01	THAILAND	DENV1	00473	98
DENV1/THAILAND/2004/00477/04	2004-01-01	THAILAND	DENV1	00477	04
DENV1/THAILAND/2002/00479/02	2002-01-01	THAILAND	DENV1	00479	02
DENV1/THAILAND/2004/00479/04	2004-01-01	THAILAND	DENV1	00479	04
DENV1/THAILAND/2005/00479/05	2005-01-01	THAILAND	DENV1	00479	05
DENV1/THAILAND/2006/00482/06	2006-01-01	THAILAND	DENV1	00482	06
DENV1/THAILAND/2013/00485/13	2013-01-01	THAILAND	DENV1	00485	13
DENV1/THAILAND/2014/00485/14	2014-01-01	THAILAND	DENV1	00485	14
DENV1/THAILAND/1995/00487/95	1995-01-01	THAILAND	DENV1	00487	95
DENV1/THAILAND/2006/00490/06	2006-01-01	THAILAND	DENV1	00490	06
DENV1/THAILAND/2006/00492/06	2006-01-01	THAILAND	DENV1	00492	06
DENV1/THAILAND/2004/00493/04	2004-01-01	THAILAND	DENV1	00493	04
DENV1/THAILAND/2011/00493/11	2011-01-01	THAILAND	DENV1	00493	11
DENV1/THAILAND/1983/00493/83	1983-01-01	THAILAND	DENV1	00493	83
DENV1/THAILAND/2001/00494/01	2001-01-01	THAILAND	DENV1	00494	01
DENV1/THAILAND/2003/00496/03	2003-01-01	THAILAND	DENV1	00496	03
DENV1/THAILAND/2006/00498/06	2006-01-01	THAILAND	DENV1	00498	06
DENV1/THAILAND/2012/00511/12	2012-01-01	THAILAND	DENV1	00511	12
DENV1/THAILAND/2006/00514/06	2006-01-01	THAILAND	DENV1	00514	06
DENV1/THAILAND/1988/00522/88	1988-01-01	THAILAND	DENV1	00522	88
DENV1/THAILAND/2006/00527/06	2006-01-01	THAILAND	DENV1	00527	06
DENV1/THAILAND/2004/00532/04	2004-01-01	THAILAND	DENV1	00532	04
DENV1/THAILAND/1994/00532/94	1994-01-01	THAILAND	DENV1	00532	94
DENV1/THAILAND/2003/00537/03	2003-01-01	THAILAND	DENV1	00537	03
DENV1/THAILAND/1994/00537/94	1994-01-01	THAILAND	DENV1	00537	94
DENV1/THAILAND/2003/00543/03	2003-01-01	THAILAND	DENV1	00543	03
DENV1/THAILAND/2012/00543/12	2012-01-01	THAILAND	DENV1	00543	12
DENV1/THAILAND/2006/00551/06	2006-01-01	THAILAND	DENV1	00551	06
DENV1/THAILAND/2014/00554/14	2014-01-01	THAILAND	DENV1	00554	14
DENV1/THAILAND/2006/00555/06	2006-01-01	THAILAND	DENV1	00555	06
DENV1/THAILAND/2014/00559/14	2014-01-01	THAILAND	DENV1	00559	14
DENV1/THAILAND/1995/00569/95	1995-01-01	THAILAND	DENV1	00569	95
DENV1/THAILAND/2014/00572/14	2014-01-01	THAILAND	DENV1	00572	14
DENV1/THAILAND/2006/00577/06	2006-01-01	THAILAND	DENV1	00577	06
DENV1/THAILAND/2011/00577/11	2011-01-01	THAILAND	DENV1	00577	11
DENV1/THAILAND/2001/00580/01	2001-01-01	THAILAND	DENV1	00580	01
DENV1/THAILAND/2012/00580/12	2012-01-01	THAILAND	DENV1	00580	12
DENV1/THAILAND/1995/00582/95	1995-01-01	THAILAND	DENV1	00582	95
DENV1/THAILAND/1995/00590/95	1995-01-01	THAILAND	DENV1	00590	95
DENV1/THAILAND/1998/00592/98	1998-01-01	THAILAND	DENV1	00592	98
DENV1/THAILAND/1999/00594/99	1999-01-01	THAILAND	DENV1	00594	99
DENV1/THAILAND/1995/00595/95	1995-01-01	THAILAND	DENV1	00595	95
DENV1/THAILAND/2003/00596/03	2003-01-01	THAILAND	DENV1	00596	03
DENV1/THAILAND/2003/00598/03	2003-01-01	THAILAND	DENV1	00598	03
DENV1/THAILAND/2002/00600/02	2002-01-01	THAILAND	DENV1	00600	02
DENV1/THAILAND/2013/00607/13	2013-01-01	THAILAND	DENV1	00607	13
DENV1/THAILAND/1995/00614/95	1995-01-01	THAILAND	DENV1	00614	95
DENV1/THAILAND/2006/00616/06	2006-01-01	THAILAND	DENV1	00616	06
DENV1/THAILAND/2005/00617/05	2005-01-01	THAILAND	DENV1	00617	05
DENV1/THAILAND/2014/00624/14	2014-01-01	THAILAND	DENV1	00624	14
DENV1/THAILAND/2011/00626/11	2011-01-01	THAILAND	DENV1	00626	11
DENV1/THAILAND/2006/00631/06	2006-01-01	THAILAND	DENV1	00631	06
DENV1/THAILAND/1980/00633/80	1980-01-01	THAILAND	DENV1	00633	80
DENV1/THAILAND/2014/00634/14	2014-01-01	THAILAND	DENV1	00634	14
DENV1/THAILAND/1995/00637/95	1995-01-01	THAILAND	DENV1	00637	95
DENV1/THAILAND/2002/00644/02	2002-01-01	THAILAND	DENV1	00644	02
DENV1/THAILAND/2005/00647/05	2005-01-01	THAILAND	DENV1	00647	05
DENV1/THAILAND/2002/00650/02	2002-01-01	THAILAND	DENV1	00650	02
DENV1/THAILAND/1994/00650/94	1994-01-01	THAILAND	DENV1	00650	94
DENV1/THAILAND/2005/00667/05	2005-01-01	THAILAND	DENV1	00667	05
DENV1/THAILAND/1995/00668/95	1995-01-01	THAILAND	DENV1	00668	95
DENV1/THAILAND/1998/00669/98	1998-01-01	THAILAND	DENV1	00669	98
DENV1/THAILAND/2006/00674/06	2006-01-01	THAILAND	DENV1	00674	06
DENV1/THAILAND/1999/00684/99	1999-01-01	THAILAND	DENV1	00684	99
DENV1/THAILAND/2006/00690/06	2006-01-01	THAILAND	DENV1	00690	06
DENV1/THAILAND/1999/00692/99	1999-01-01	THAILAND	DENV1	00692	99
DENV1/THAILAND/2003/00697/03	2003-01-01	THAILAND	DENV1	00697	03
DENV1/THAILAND/2006/00698/06	2006-01-01	THAILAND	DENV1	00698	06
DENV1/THAILAND/2006/00709/06	2006-01-01	THAILAND	DENV1	00709	06
DENV1/THAILAND/2006/00713/06	2006-01-01	THAILAND	DENV1	00713	06
DENV1/THAILAND/1994/00713/94	1994-01-01	THAILAND	DENV1	00713	94
DENV1/THAILAND/2004/00725/04	2004-01-01	THAILAND	DENV1	00725	04
DENV1/THAILAND/2014/00725/14	2014-01-01	THAILAND	DENV1	00725	14
DENV1/THAILAND/2006/00728/06	2006-01-01	THAILAND	DENV1	00728	06
DENV1/THAILAND/2002/00731/02	2002-01-01	THAILAND	DENV1	00731	02
DENV1/THAILAND/2014/00738/14	2014-01-01	THAILAND	DENV1	00738	14
DENV1/THAILAND/1998/00739/98	1998-01-01	THAILAND	DENV1	00739	98
DENV1/THAILAND/1994/00740/94	1994-01-01	THAILAND	DENV1	00740	94
DENV1/THAILAND/2005/00743/05	2005-01-01	THAILAND	DENV1	00743	05
DENV1/THAILAND/2005/00744/05	2005-01-01	THAILAND	DENV1	00744	05
DENV1/THAILAND/2011/00750/11	2011-01-01	THAILAND	DENV1	00750	11
DENV1/THAILAND/2011/00757/11	2011-01-01	THAILAND	DENV1	00757	11
DENV1/THAILAND/2004/00758/04	2004-01-01	THAILAND	DENV1	00758	04
DENV1/THAILAND/2014/00758/14	2014-01-01	THAILAND	DENV1	00758	14
DENV1/THAILAND/2006/00761/06	2006-01-01	THAILAND	DENV1	00761	06
DENV1/THAILAND/2012/00763/12	2012-01-01	THAILAND	DENV1	00763	12
DENV1/THAILAND/1995/00769/95	1995-01-01	THAILAND	DENV1	00769	95
DENV1/THAILAND/2012/00777/12	2012-01-01	THAILAND	DENV1	00777	12
DENV1/THAILAND/2011/00785/11	2011-01-01	THAILAND	DENV1	00785	11
DENV1/THAILAND/2010/00792/10	2010-01-01	THAILAND	DENV1	00792	10
DENV1/THAILAND/2004/00793/04	2004-01-01	THAILAND	DENV1	00793	04
DENV1/THAILAND/2012/00807/12	2012-01-01	THAILAND	DENV1	00807	12
DENV1/THAILAND/2012/00809/12	2012-01-01	THAILAND	DENV1	00809	12
DENV1/THAILAND/2006/00817/06	2006-01-01	THAILAND	DENV1	00817	06
DENV1/THAILAND/1994/00817/94	1994-01-01	THAILAND	DENV1	00817	94
DENV1/THAILAND/1994/00821/94	1994-01-01	THAILAND	DENV1	00821	94
DENV1/THAILAND/2001/00822/01	2001-01-01	THAILAND	DENV1	00822	01
DENV1/THAILAND/2006/00825/06	2006-01-01	THAILAND	DENV1	00825	06
DENV1/THAILAND/2012/00829/12	2012-01-01	THAILAND	DENV1	00829	12
DENV1/THAILAND/2006/00833/06	2006-01-01	THAILAND	DENV1	00833	06
DENV1/THAILAND/2012/00840/12	2012-01-01	THAILAND	DENV1	00840	12
DENV1/THAILAND/2006/00841/06	2006-01-01	THAILAND	DENV1	00841	06
DENV1/THAILAND/2004/00878/04	2004-01-01	THAILAND	DENV1	00878	04
DENV1/THAILAND/2012/00878/12	2012-01-01	THAILAND	DENV1	00878	12
DENV1/THAILAND/2010/00887/10	2010-01-01	THAILAND	DENV1	00887	10
DENV1/THAILAND/2006/00921/06	2006-01-01	THAILAND	DENV1	00921	06
DENV1/THAILAND/1997/00926/97	1997-01-01	THAILAND	DENV1	00926	97
DENV1/THAILAND/1997/00927/97	1997-01-01	THAILAND	DENV1	00927	97
DENV1/THAILAND/2011/00938/11	2011-01-01	THAILAND	DENV1	00938	11
DENV1/THAILAND/1994/00938/94	1994-01-01	THAILAND	DENV1	00938	94
DENV1/THAILAND/1996/00942/96	1996-01-01	THAILAND	DENV1	00942	96
DENV1/THAILAND/2012/00943/12	2012-01-01	THAILAND	DENV1	00943	12
DENV1/THAILAND/2003/00961/03	2003-01-01	THAILAND	DENV1	00961	03
DENV1/THAILAND/2006/00966/06	2006-01-01	THAILAND	DENV1	00966	06
DENV1/THAILAND/1995/00968/95	1995-01-01	THAILAND	DENV1	00968	95
DENV1/THAILAND/1996/00970/96	1996-01-01	THAILAND	DENV1	00970	96
DENV1/THAILAND/2004/00975/04	2004-01-01	THAILAND	DENV1	00975	04
DENV1/THAILAND/1995/00975/95	1995-01-01	THAILAND	DENV1	00975	95
DENV1/THAILAND/1995/00978/95	1995-01-01	THAILAND	DENV1	00978	95
DENV1/THAILAND/2002/00995/02	2002-01-01	THAILAND	DENV1	00995	02
DENV1/THAILAND/1995/00995/95	1995-01-01	THAILAND	DENV1	00995	95
DENV1/THAILAND/2006/01001/06	2006-01-01	THAILAND	DENV1	01001	06
DENV1/THAILAND/2012/01006/12	2012-01-01	THAILAND	DENV1	01006	12
DENV1/THAILAND/2006/01014/06	2006-01-01	THAILAND	DENV1	01014	06
DENV1/THAILAND/1995/01014/95	1995-01-01	THAILAND	DENV1	01014	95
DENV1/THAILAND/2003/01023/03	2003-01-01	THAILAND	DENV1	01023	03
DENV1/THAILAND/1996/01023/96	1996-01-01	THAILAND	DENV1	01023	96
DENV1/THAILAND/2013/01031/13	2013-01-01	THAILAND	DENV1	01031	13
DENV1/THAILAND/2004/01038/04	2004-01-01	THAILAND	DENV1	01038	04
DENV1/THAILAND/2006/01038/06	2006-01-01	THAILAND	DENV1	01038	06
DENV1/THAILAND/2001/01039/01	2001-01-01	THAILAND	DENV1	01039	01
DENV1/THAILAND/2005/01040/05	2005-01-01	THAILAND	DENV1	01040	05
DENV1/THAILAND/2010/01040/10	2010-01-01	THAILAND	DENV1	01040	10
DENV1/THAILAND/2010/01044/10	2010-01-01	THAILAND	DENV1	01044	10
DENV1/THAILAND/2002/01048/02	2002-01-01	THAILAND	DENV1	01048	02
DENV1/THAILAND/1996/01049/96	1996-01-01	THAILAND	DENV1	01049	96
DENV1/THAILAND/1996/01055/96	1996-01-01	THAILAND	DENV1	01055	96
DENV1/THAILAND/2006/01057/06	2006-01-01	THAILAND	DENV1	01057	06
DENV1/THAILAND/1997/01057/97	1997-01-01	THAILAND	DENV1	01057	97
DENV1/THAILAND/2013/01060/13	2013-01-01	THAILAND	DENV1	01060	13
DENV1/THAILAND/1994/01088/94	1994-01-01	THAILAND	DENV1	01088	94
DENV1/THAILAND/2006/01089/06	2006-01-01	THAILAND	DENV1	01089	06
DENV1/THAILAND/2002/01091/02	2002-01-01	THAILAND	DENV1	01091	02
DENV1/THAILAND/2006/01093/06	2006-01-01	THAILAND	DENV1	01093	06
DENV1/THAILAND/1996/01095/96	1996-01-01	THAILAND	DENV1	01095	96
DENV1/THAILAND/2006/01096/06	2006-01-01	THAILAND	DENV1	01096	06
DENV1/THAILAND/1995/01097/95	1995-01-01	THAILAND	DENV1	01097	95
DENV1/THAILAND/2006/01104/06	2006-01-01	THAILAND	DENV1	01104	06
DENV1/THAILAND/2006/01108/06	2006-01-01	THAILAND	DENV1	01108	06
DENV1/THAILAND/1996/01114/96	1996-01-01	THAILAND	DENV1	01114	96
DENV1/THAILAND/2002/01117/02	2002-01-01	THAILAND	DENV1	01117	02
DENV1/THAILAND/2012/01133/12	2012-01-01	THAILAND	DENV1	01133	12
DENV1/THAILAND/1996/01134/96	1996-01-01	THAILAND	DENV1	01134	96
DENV1/THAILAND/1996/01139/96	1996-01-01	THAILAND	DENV1	01139	96
DENV1/THAILAND/2006/01140/06	2006-01-01	THAILAND	DENV1	01140	06
DENV1/THAILAND/2006/01141/06	2006-01-01	THAILAND	DENV1	01141	06
DENV1/THAILAND/2006/01143/06	2006-01-01	THAILAND	DENV1	01143	06
DENV1/THAILAND/2013/01143/13	2013-01-01	THAILAND	DENV1	01143	13
DENV1/THAILAND/2006/01145/06	2006-01-01	THAILAND	DENV1	01145	06
DENV1/THAILAND/2005/01147/05	2005-01-01	THAILAND	DENV1	01147	05
DENV1/THAILAND/2013/01152/13	2013-01-01	THAILAND	DENV1	01152	13
DENV1/THAILAND/2006/01170/06	2006-01-01	THAILAND	DENV1	01170	06
DENV1/THAILAND/1998/01173/98	1998-01-01	THAILAND	DENV1	01173	98
DENV1/THAILAND/2010/01175/10	2010-01-01	THAILAND	DENV1	01175	10
DENV1/THAILAND/1995/01199/95	1995-01-01	THAILAND	DENV1	01199	95
DENV1/THAILAND/2011/01202/11	2011-01-01	THAILAND	DENV1	01202	11
DENV1/THAILAND/2003/01203/03	2003-01-01	THAILAND	DENV1	01203	03
DENV1/THAILAND/2006/01211/06	2006-01-01	THAILAND	DENV1	01211	06
DENV1/THAILAND/1995/01213/95	1995-01-01	THAILAND	DENV1	01213	95
DENV1/THAILAND/2006/01214/06	2006-01-01	THAILAND	DENV1	01214	06
DENV1/THAILAND/2006/01229/06	2006-01-01	THAILAND	DENV1	01229	06
DENV1/THAILAND/1996/01231/96	1996-01-01	THAILAND	DENV1	01231	96
DENV1/THAILAND/2000/01236/00	2000-01-01	THAILAND	DENV1	01236	00
DENV1/THAILAND/2000/01239/00	2000-01-01	THAILAND	DENV1	01239	00
DENV1/THAILAND/2006/01241/06	2006-01-01	THAILAND	DENV1	01241	06
DENV1/THAILAND/2006/01242/06	2006-01-01	THAILAND	DENV1	01242	06
DENV1/THAILAND/2011/01259/11	2011-01-01	THAILAND	DENV1	01259	11
DENV1/THAILAND/1995/01262/95	1995-01-01	THAILAND	DENV1	01262	95
DENV1/THAILAND/2000/01264/00	2000-01-01	THAILAND	DENV1	01264	00
DENV1/THAILAND/2006/01273/06	2006-01-01	THAILAND	DENV1	01273	06
DENV1/THAILAND/2004/01274/04	2004-01-01	THAILAND	DENV1	01274	04
DENV1/THAILAND/2006/01277/06	2006-01-01	THAILAND	DENV1	01277	06
DENV1/THAILAND/1995/01277/95	1995-01-01	THAILAND	DENV1	01277	95
DENV1/THAILAND/1995/01283/95	1995-01-01	THAILAND	DENV1	01283	95
DENV1/THAILAND/1995/01293/95	1995-01-01	THAILAND	DENV1	01293	95
DENV1/THAILAND/2010/01302/10	2010-01-01	THAILAND	DENV1	01302	10
DENV1/THAILAND/2011/01302/11	2011-01-01	THAILAND	DENV1	01302	11
DENV1/THAILAND/1994/01308/94	1994-01-01	THAILAND	DENV1	01308	94
DENV1/THAILAND/2004/01309/04	2004-01-01	THAILAND	DENV1	01309	04
DENV1/THAILAND/1994/01310/94	1994-01-01	THAILAND	DENV1	01310	94
DENV1/THAILAND/2004/01313/04	2004-01-01	THAILAND	DENV1	01313	04
DENV1/THAILAND/1998/01315/98	1998-01-01	THAILAND	DENV1	01315	98
DENV1/THAILAND/2010/01327/10	2010-01-01	THAILAND	DENV1	01327	10
DENV1/THAILAND/2006/01330/06	2006-01-01	THAILAND	DENV1	01330	06
DENV1/THAILAND/2005/01331/05	2005-01-01	THAILAND	DENV1	01331	05
DENV1/THAILAND/2006/01332/06	2006-01-01	THAILAND	DENV1	01332	06
DENV1/THAILAND/2006/01334/06	2006-01-01	THAILAND	DENV1	01334	06
DENV1/THAILAND/2006/01335/06	2006-01-01	THAILAND	DENV1	01335	06
DENV1/THAILAND/2000/01349/00	2000-01-01	THAILAND	DENV1	01349	00
DENV1/THAILAND/1995/01364/95	1995-01-01	THAILAND	DENV1	01364	95
DENV1/THAILAND/2003/01373/03	2003-01-01	THAILAND	DENV1	01373	03
DENV1/THAILAND/2006/01376/06	2006-01-01	THAILAND	DENV1	01376	06
DENV1/THAILAND/2006/01377/06	2006-01-01	THAILAND	DENV1	01377	06
DENV1/THAILAND/2006/01380/06	2006-01-01	THAILAND	DENV1	01380	06
DENV1/THAILAND/2006/01381/06	2006-01-01	THAILAND	DENV1	01381	06
DENV1/THAILAND/2010/01381/10	2010-01-01	THAILAND	DENV1	01381	10
DENV1/THAILAND/2005/01383/05	2005-01-01	THAILAND	DENV1	01383	05
DENV1/THAILAND/2006/01383/06	2006-01-01	THAILAND	DENV1	01383	06
DENV1/THAILAND/1994/01385/94	1994-01-01	THAILAND	DENV1	01385	94
DENV1/THAILAND/2006/01386/06	2006-01-01	THAILAND	DENV1	01386	06
DENV1/THAILAND/2011/01392/11	2011-01-01	THAILAND	DENV1	01392	11
DENV1/THAILAND/2002/01393/02	2002-01-01	THAILAND	DENV1	01393	02
DENV1/THAILAND/2000/01397/00	2000-01-01	THAILAND	DENV1	01397	00
DENV1/THAILAND/2006/01402/06	2006-01-01	THAILAND	DENV1	01402	06
