strain	date	country	genotype	accession	extra
DENV3/THAILAND/2006/02704/06	2006-01-01	THAILAND	DENV3	02704	06
DENV3/THAILAND/2006/00831/06	2006-01-01	THAILAND	DENV3	00831	06
DENV3/THAILAND/2006/01253/06	2006-01-01	THAILAND	DENV3	01253	06
DENV3/THAILAND/2006/02051/06	2006-01-01	THAILAND	DENV3	02051	06
DENV3/THAILAND/2006/01369/06	2006-01-01	THAILAND	DENV3	01369	06
DENV3/THAILAND/1998/06912/98	1998-01-01	THAILAND	DENV3	06912	98
DENV3/THAILAND/2006/02042/06	2006-01-01	THAILAND	DENV3	02042	06
DENV3/THAILAND/2006/02111/06	2006-01-01	THAILAND	DENV3	02111	06
DENV3/MYANMAR/2008/80931	2008-01-01	MYANMAR	DENV3	80931	.
DENV3/THAILAND/2010/01467/10	2010-01-01	THAILAND	DENV3	01467	10
DENV3/THAILAND/2008/01398/08	2008-01-01	THAILAND	DENV3	01398	08
DENV3/THAILAND/2006/02490/06	2006-01-01	THAILAND	DENV3	02490	06
DENV3/THAILAND/2006/01373/06	2006-01-01	THAILAND	DENV3	01373	06
DENV3/THAILAND/1998/02551/98	1998-01-01	THAILAND	DENV3	02551	98
DENV3/THAILAND/2006/02784/06	2006-01-01	THAILAND	DENV3	02784	06
DENV3/THAILAND/2006/02185/06	2006-01-01	THAILAND	DENV3	02185	06
DENV3/THAILAND/2006/02202/06	2006-01-01	THAILAND	DENV3	02202	06
DENV3/THAILAND/2010/01378/10	2010-01-01	THAILAND	DENV3	01378	10
DENV3/THAILAND/2011/01445/11	2011-01-01	THAILAND	DENV3	01445	11
DENV3/THAILAND/2005/01530/05	2005-01-01	THAILAND	DENV3	01530	05
DENV3/THAILAND/1994/00128/94	1994-01-01	THAILAND	DENV3	00128	94
DENV3/THAILAND/1994/00130/94	1994-01-01	THAILAND	DENV3	00130	94
DENV3/THAILAND/1994/30055/94	1994-01-01	THAILAND	DENV3	30055	94
DENV3/THAILAND/1994/30060/94	1994-01-01	THAILAND	DENV3	30060	94
DENV3/THAILAND/1994/30017/94	1994-01-01	THAILAND	DENV3	30017	94
DENV3/THAILAND/1994/30362/94	1994-01-01	THAILAND	DENV3	30362	94
DENV3/THAILAND/1994/30334/94	1994-01-01	THAILAND	DENV3	30334	94
DENV3/THAILAND/1997/05100/97	1997-01-01	THAILAND	DENV3	05100	97
DENV3/THAILAND/2001/00929/01	2001-01-01	THAILAND	DENV3	00929	01
DENV3/FIJI/1992/29472-L11422-I	1992-01-01	FIJI	DENV3	29472-L11422-I	.
DENV3/INDONESIA/1978/SLEMAN-1280-AC25	1978-01-01	INDONESIA	DENV3	SLEMAN-1280-AC25	.
DENV3/PUERTO-RICO/1963/PRS-228762-AC27	1963-01-01	PUERTO-RICO	DENV3	PRS-228762-AC27	.
