strain	date	country	genotype	accession	extra
DENV2/THAILAND/1997/00760/97	1997-01-01	THAILAND	DENV2	00760	97
DENV2/THAILAND/1998/00425/98	1998-01-01	THAILAND	DENV2	00425	98
DENV2/THAILAND/1997/02158/97	1997-01-01	THAILAND	DENV2	02158	97
DENV2/THAILAND/1997/02174/97	1997-01-01	THAILAND	DENV2	02174	97
DENV2/THAILAND/1998/02918/98	1998-01-01	THAILAND	DENV2	02918	98
DENV2/THAILAND/1999/04156/99	1999-01-01	THAILAND	DENV2	04156	99
DENV2/THAILAND/2001/03244/01	2001-01-01	THAILAND	DENV2	03244	01
DENV2/THAILAND/1999/04056/99	1999-01-01	THAILAND	DENV2	04056	99
DENV2/THAILAND/1997/07718/97	1997-01-01	THAILAND	DENV2	07718	97
DENV2/THAILAND/1995/00773/95	1995-01-01	THAILAND	DENV2	00773	95
DENV2/THAILAND/1996/01315/96	1996-01-01	THAILAND	DENV2	01315	96
DENV2/THAILAND/1999/03844/99	1999-01-01	THAILAND	DENV2	03844	99
DENV2/THAILAND/1998/02459/98	1998-01-01	THAILAND	DENV2	02459	98
DENV2/THAILAND/1998/06668/98	1998-01-01	THAILAND	DENV2	06668	98
DENV2/THAILAND/1999/02947/99	1999-01-01	THAILAND	DENV2	02947	99
DENV2/THAILAND/2002/00444/02	2002-01-01	THAILAND	DENV2	00444	02
DENV2/THAILAND/2001/00615/01	2001-01-01	THAILAND	DENV2	00615	01
DENV2/THAILAND/2000/02212/00	2000-01-01	THAILAND	DENV2	02212	00
DENV2/THAILAND/2001/03600/01	2001-01-01	THAILAND	DENV2	03600	01
DENV2/THAILAND/2001/04221/01	2001-01-01	THAILAND	DENV2	04221	01
DENV2/THAILAND/2001/02900/01	2001-01-01	THAILAND	DENV2	02900	01
DENV2/THAILAND/2000/05882/00	2000-01-01	THAILAND	DENV2	05882	00
DENV2/THAILAND/2001/02913/01	2001-01-01	THAILAND	DENV2	02913	01
DENV2/THAILAND/2001/04451/01	2001-01-01	THAILAND	DENV2	04451	01
DENV2/THAILAND/2001/04759/01	2001-01-01	THAILAND	DENV2	04759	01
DENV2/THAILAND/2002/02094/02	2002-01-01	THAILAND	DENV2	02094	02
DENV2/THAILAND/2001/05695/01	2001-01-01	THAILAND	DENV2	05695	01
DENV2/THAILAND/2003/01693/03	2003-01-01	THAILAND	DENV2	01693	03
DENV2/THAILAND/2002/01314/02	2002-01-01	THAILAND	DENV2	01314	02
DENV2/THAILAND/1995/00760/95	1995-01-01	THAILAND	DENV2	00760	95
DENV2/THAILAND/1997/03064/97	1997-01-01	THAILAND	DENV2	03064	97
DENV2/THAILAND/1996/01816/96	1996-01-01	THAILAND	DENV2	01816	96
DENV2/THAILAND/2001/00017/01	2001-01-01	THAILAND	DENV2	00017	01
DENV2/THAILAND/1998/06903/98	1998-01-01	THAILAND	DENV2	06903	98
DENV2/THAILAND/1996/02561/96	1996-01-01	THAILAND	DENV2	02561	96
DENV2/THAILAND/1997/05107/97	1997-01-01	THAILAND	DENV2	05107	97
DENV2/THAILAND/1999/02816/99	1999-01-01	THAILAND	DENV2	02816	99
DENV2/THAILAND/1999/03093/99	1999-01-01	THAILAND	DENV2	03093	99
DENV2/THAILAND/1999/03658/99	1999-01-01	THAILAND	DENV2	03658	99
DENV2/THAILAND/1999/04177/99	1999-01-01	THAILAND	DENV2	04177	99
DENV2/THAILAND/1998/06160/98	1998-01-01	THAILAND	DENV2	06160	98
DENV2/THAILAND/1998/01550/98	1998-01-01	THAILAND	DENV2	01550	98
DENV2/THAILAND/1999/03579/99	1999-01-01	THAILAND	DENV2	03579	99
DENV2/THAILAND/2006/00016/06	2006-01-01	THAILAND	DENV2	00016	06
DENV2/THAILAND/2005/01171/05	2005-01-01	THAILAND	DENV2	01171	05
DENV2/THAILAND/2006/00678/06	2006-01-01	THAILAND	DENV2	00678	06
DENV2/THAILAND/2006/00291/06	2006-01-01	THAILAND	DENV2	00291	06
DENV2/THAILAND/2006/00495/06	2006-01-01	THAILAND	DENV2	00495	06
DENV2/THAILAND/2002/00118/02	2002-01-01	THAILAND	DENV2	00118	02
DENV2/THAILAND/2001/03693/01	2001-01-01	THAILAND	DENV2	03693	01
DENV2/THAILAND/2001/04225/01	2001-01-01	THAILAND	DENV2	04225	01
DENV2/THAILAND/2001/06383/01	2001-01-01	THAILAND	DENV2	06383	01
DENV2/THAILAND/2002/02678/02	2002-01-01	THAILAND	DENV2	02678	02
DENV2/THAILAND/2002/00569/02	2002-01-01	THAILAND	DENV2	00569	02
DENV2/THAILAND/2004/00242/04	2004-01-01	THAILAND	DENV2	00242	04
DENV2/THAILAND/2002/02934/02	2002-01-01	THAILAND	DENV2	02934	02
DENV2/THAILAND/2003/00449/03	2003-01-01	THAILAND	DENV2	00449	03
DENV2/THAILAND/2004/00290/04	2004-01-01	THAILAND	DENV2	00290	04
DENV2/THAILAND/2003/01268/03	2003-01-01	THAILAND	DENV2	01268	03
DENV2/THAILAND/2003/01549/03	2003-01-01	THAILAND	DENV2	01549	03
DENV2/THAILAND/2004/01666/04	2004-01-01	THAILAND	DENV2	01666	04
DENV2/THAILAND/2007/00538/07	2007-01-01	THAILAND	DENV2	00538	07
DENV2/THAILAND/2005/01594/05	2005-01-01	THAILAND	DENV2	01594	05
DENV2/THAILAND/2007/01849/07	2007-01-01	THAILAND	DENV2	01849	07
DENV2/THAILAND/2006/02398/06	2006-01-01	THAILAND	DENV2	02398	06
DENV2/THAILAND/2006/02518/06	2006-01-01	THAILAND	DENV2	02518	06
DENV2/THAILAND/2002/02933/02	2002-01-01	THAILAND	DENV2	02933	02
DENV2/THAILAND/2007/00511/07	2007-01-01	THAILAND	DENV2	00511	07
DENV2/THAILAND/2011/00606/11	2011-01-01	THAILAND	DENV2	00606	11
DENV2/THAILAND/2010/00791/10	2010-01-01	THAILAND	DENV2	00791	10
DENV2/THAILAND/2004/01256/04	2004-01-01	THAILAND	DENV2	01256	04
DENV2/THAILAND/2010/01384/10	2010-01-01	THAILAND	DENV2	01384	10
DENV2/THAILAND/2007/00335/07	2007-01-01	THAILAND	DENV2	00335	07
DENV2/THAILAND/2006/00525/06	2006-01-01	THAILAND	DENV2	00525	06
DENV2/THAILAND/2005/01534/05	2005-01-01	THAILAND	DENV2	01534	05
DENV2/THAILAND/2006/00720/06	2006-01-01	THAILAND	DENV2	00720	06
DENV2/THAILAND/2006/01841/06	2006-01-01	THAILAND	DENV2	01841	06
DENV2/THAILAND/2007/00496/07	2007-01-01	THAILAND	DENV2	00496	07
DENV2/THAILAND/2007/01836/07	2007-01-01	THAILAND	DENV2	01836	07
DENV2/THAILAND/2006/01597/06	2006-01-01	THAILAND	DENV2	01597	06
DENV2/THAILAND/2003/00035/03	2003-01-01	THAILAND	DENV2	00035	03
DENV2/THAILAND/2002/03130/02	2002-01-01	THAILAND	DENV2	03130	02
DENV2/THAILAND/2001/00135/01	2001-01-01	THAILAND	DENV2	00135	01
DENV2/THAILAND/2000/02113/00	2000-01-01	THAILAND	DENV2	02113	00
DENV2/THAILAND/2001/00193/01	2001-01-01	THAILAND	DENV2	00193	01
DENV2/THAILAND/2001/00285/01	2001-01-01	THAILAND	DENV2	00285	01
DENV2/THAILAND/2001/00345/01	2001-01-01	THAILAND	DENV2	00345	01
DENV2/THAILAND/2000/05894/00	2000-01-01	THAILAND	DENV2	05894	00
DENV2/THAILAND/2000/06009/00	2000-01-01	THAILAND	DENV2	06009	00
DENV2/THAILAND/2000/01326/00	2000-01-01	THAILAND	DENV2	01326	00
DENV2/THAILAND/2000/01754/00	2000-01-01	THAILAND	DENV2	01754	00
DENV2/THAILAND/2000/01636/00	2000-01-01	THAILAND	DENV2	01636	00
DENV2/THAILAND/2000/01899/00	2000-01-01	THAILAND	DENV2	01899	00
DENV2/THAILAND/2000/05511/00	2000-01-01	THAILAND	DENV2	05511	00
DENV2/THAILAND/2000/04842/00	2000-01-01	THAILAND	DENV2	04842	00
DENV2/THAILAND/2000/05492/00	2000-01-01	THAILAND	DENV2	05492	00
DENV2/THAILAND/2001/00721/01	2001-01-01	THAILAND	DENV2	00721	01
DENV2/THAILAND/2000/02022/00	2000-01-01	THAILAND	DENV2	02022	00
DENV2/THAILAND/2000/05493/00	2000-01-01	THAILAND	DENV2	05493	00
DENV2/THAILAND/2000/06013/00	2000-01-01	THAILAND	DENV2	06013	00
DENV2/THAILAND/2001/01026/01	2001-01-01	THAILAND	DENV2	01026	01
DENV2/THAILAND/2000/05692/00	2000-01-01	THAILAND	DENV2	05692	00
DENV2/THAILAND/2000/05512/00	2000-01-01	THAILAND	DENV2	05512	00
DENV2/THAILAND/2000/02180/00	2000-01-01	THAILAND	DENV2	02180	00
DENV2/THAILAND/2003/00977/03	2003-01-01	THAILAND	DENV2	00977	03
DENV2/THAILAND/2001/05885/01	2001-01-01	THAILAND	DENV2	05885	01
DENV2/THAILAND/2001/06627/01	2001-01-01	THAILAND	DENV2	06627	01
DENV2/THAILAND/2002/00786/02	2002-01-01	THAILAND	DENV2	00786	02
DENV2/THAILAND/2002/01318/02	2002-01-01	THAILAND	DENV2	01318	02
DENV2/THAILAND/2002/02935/02	2002-01-01	THAILAND	DENV2	02935	02
DENV2/THAILAND/2001/04897/01	2001-01-01	THAILAND	DENV2	04897	01
DENV2/THAILAND/2002/00750/02	2002-01-01	THAILAND	DENV2	00750	02
DENV2/THAILAND/2002/01024/02	2002-01-01	THAILAND	DENV2	01024	02
DENV2/THAILAND/2001/03993/01	2001-01-01	THAILAND	DENV2	03993	01
DENV2/THAILAND/2001/06834/01	2001-01-01	THAILAND	DENV2	06834	01
DENV2/THAILAND/2002/02321/02	2002-01-01	THAILAND	DENV2	02321	02
DENV2/THAILAND/2002/02484/02	2002-01-01	THAILAND	DENV2	02484	02
DENV2/THAILAND/2002/01636/02	2002-01-01	THAILAND	DENV2	01636	02
DENV2/THAILAND/2002/01899/02	2002-01-01	THAILAND	DENV2	01899	02
DENV2/THAILAND/2003/00050/03	2003-01-01	THAILAND	DENV2	00050	03
DENV2/THAILAND/2003/01968/03	2003-01-01	THAILAND	DENV2	01968	03
DENV2/THAILAND/2002/02461/02	2002-01-01	THAILAND	DENV2	02461	02
DENV2/THAILAND/2002/01050/02	2002-01-01	THAILAND	DENV2	01050	02
DENV2/THAILAND/2003/00270/03	2003-01-01	THAILAND	DENV2	00270	03
DENV2/THAILAND/2001/06281/01	2001-01-01	THAILAND	DENV2	06281	01
DENV2/THAILAND/2001/05353/01	2001-01-01	THAILAND	DENV2	05353	01
DENV2/THAILAND/2002/01209/02	2002-01-01	THAILAND	DENV2	01209	02
DENV2/THAILAND/2002/01009/02	2002-01-01	THAILAND	DENV2	01009	02
DENV2/THAILAND/2002/02667/02	2002-01-01	THAILAND	DENV2	02667	02
DENV2/THAILAND/2003/00227/03	2003-01-01	THAILAND	DENV2	00227	03
DENV2/THAILAND/2003/00207/03	2003-01-01	THAILAND	DENV2	00207	03
DENV2/THAILAND/2003/01707/03	2003-01-01	THAILAND	DENV2	01707	03
DENV2/THAILAND/2003/00499/03	2003-01-01	THAILAND	DENV2	00499	03
DENV2/THAILAND/2002/00590/02	2002-01-01	THAILAND	DENV2	00590	02
DENV2/THAILAND/2002/01468/02	2002-01-01	THAILAND	DENV2	01468	02
DENV2/THAILAND/2003/00070/03	2003-01-01	THAILAND	DENV2	00070	03
DENV2/THAILAND/2002/02971/02	2002-01-01	THAILAND	DENV2	02971	02
DENV2/THAILAND/2004/00037/04	2004-01-01	THAILAND	DENV2	00037	04
DENV2/THAILAND/2003/00605/03	2003-01-01	THAILAND	DENV2	00605	03
DENV2/THAILAND/2003/02322/03	2003-01-01	THAILAND	DENV2	02322	03
DENV2/THAILAND/2003/00139/03	2003-01-01	THAILAND	DENV2	00139	03
DENV2/THAILAND/2003/01888/03	2003-01-01	THAILAND	DENV2	01888	03
DENV2/THAILAND/2004/00740/04	2004-01-01	THAILAND	DENV2	00740	04
DENV2/THAILAND/2006/00695/06	2006-01-01	THAILAND	DENV2	00695	06
DENV2/THAILAND/2004/01109/04	2004-01-01	THAILAND	DENV2	01109	04
DENV2/THAILAND/2004/00205/04	2004-01-01	THAILAND	DENV2	00205	04
DENV2/THAILAND/2004/00213/04	2004-01-01	THAILAND	DENV2	00213	04
DENV2/THAILAND/2004/00248/04	2004-01-01	THAILAND	DENV2	00248	04
DENV2/THAILAND/2004/00098/04	2004-01-01	THAILAND	DENV2	00098	04
DENV2/THAILAND/2003/02339/03	2003-01-01	THAILAND	DENV2	02339	03
DENV2/THAILAND/2003/02365/03	2003-01-01	THAILAND	DENV2	02365	03
DENV2/THAILAND/2004/00159/04	2004-01-01	THAILAND	DENV2	00159	04
DENV2/THAILAND/2004/00664/04	2004-01-01	THAILAND	DENV2	00664	04
DENV2/THAILAND/2004/01006/04	2004-01-01	THAILAND	DENV2	01006	04
DENV2/THAILAND/2004/01185/04	2004-01-01	THAILAND	DENV2	01185	04
DENV2/THAILAND/2003/02455/03	2003-01-01	THAILAND	DENV2	02455	03
DENV2/THAILAND/2005/00901/05	2005-01-01	THAILAND	DENV2	00901	05
DENV2/THAILAND/2005/00903/05	2005-01-01	THAILAND	DENV2	00903	05
DENV2/THAILAND/2004/01084/04	2004-01-01	THAILAND	DENV2	01084	04
DENV2/THAILAND/2007/00045/07	2007-01-01	THAILAND	DENV2	00045	07
DENV2/THAILAND/2006/01644/06	2006-01-01	THAILAND	DENV2	01644	06
DENV2/THAILAND/2006/02337/06	2006-01-01	THAILAND	DENV2	02337	06
DENV2/THAILAND/2010/01109/10	2010-01-01	THAILAND	DENV2	01109	10
DENV2/THAILAND/2011/01220/11	2011-01-01	THAILAND	DENV2	01220	11
DENV2/THAILAND/2014/00016/14	2014-01-01	THAILAND	DENV2	00016	14
DENV2/THAILAND/2012/00334/12	2012-01-01	THAILAND	DENV2	00334	12
DENV2/THAILAND/2013/00696/13	2013-01-01	THAILAND	DENV2	00696	13
DENV2/THAILAND/2010/01624/10	2010-01-01	THAILAND	DENV2	01624	10
DENV2/THAILAND/2011/01298/11	2011-01-01	THAILAND	DENV2	01298	11
DENV2/THAILAND/2007/01726/07	2007-01-01	THAILAND	DENV2	01726	07
DENV2/THAILAND/2012/00342/12	2012-01-01	THAILAND	DENV2	00342	12
DENV2/THAILAND/2006/00036/06	2006-01-01	THAILAND	DENV2	00036	06
DENV2/THAILAND/2005/01291/05	2005-01-01	THAILAND	DENV2	01291	05
DENV2/THAILAND/2006/00390/06	2006-01-01	THAILAND	DENV2	00390	06
DENV2/THAILAND/2006/00444/06	2006-01-01	THAILAND	DENV2	00444	06
DENV2/THAILAND/2005/01334/05	2005-01-01	THAILAND	DENV2	01334	05
DENV2/THAILAND/2005/01381/05	2005-01-01	THAILAND	DENV2	01381	05
DENV2/THAILAND/2005/01441/05	2005-01-01	THAILAND	DENV2	01441	05
DENV2/THAILAND/2006/02391/06	2006-01-01	THAILAND	DENV2	02391	06
DENV2/THAILAND/2006/02617/06	2006-01-01	THAILAND	DENV2	02617	06
DENV2/THAILAND/2007/00569/07	2007-01-01	THAILAND	DENV2	00569	07
DENV2/THAILAND/2007/00576/07	2007-01-01	THAILAND	DENV2	00576	07
DENV2/THAILAND/2012/00907/12	2012-01-01	THAILAND	DENV2	00907	12
DENV2/THAILAND/2012/00258/12	2012-01-01	THAILAND	DENV2	00258	12
DENV2/THAILAND/2013/00058/13	2013-01-01	THAILAND	DENV2	00058	13
DENV2/THAILAND/2006/01212/06	2006-01-01	THAILAND	DENV2	01212	06
DENV2/THAILAND/2011/00206/11	2011-01-01	THAILAND	DENV2	00206	11
DENV2/THAILAND/2004/00673/04	2004-01-01	THAILAND	DENV2	00673	04
DENV2/THAILAND/2004/00709/04	2004-01-01	THAILAND	DENV2	00709	04
DENV2/THAILAND/2004/01007/04	2004-01-01	THAILAND	DENV2	01007	04
DENV2/THAILAND/2004/01177/04	2004-01-01	THAILAND	DENV2	01177	04
DENV2/THAILAND/2004/01316/04	2004-01-01	THAILAND	DENV2	01316	04
DENV2/THAILAND/2004/01145/04	2004-01-01	THAILAND	DENV2	01145	04
DENV2/THAILAND/2005/01495/05	2005-01-01	THAILAND	DENV2	01495	05
DENV2/THAILAND/2007/02108/07	2007-01-01	THAILAND	DENV2	02108	07
DENV2/THAILAND/2007/01496/07	2007-01-01	THAILAND	DENV2	01496	07
DENV2/THAILAND/2011/00381/11	2011-01-01	THAILAND	DENV2	00381	11
DENV2/THAILAND/2006/00051/06	2006-01-01	THAILAND	DENV2	00051	06
DENV2/THAILAND/2000/00188/00	2000-01-01	THAILAND	DENV2	00188	00
DENV2/THAILAND/2004/01646/04	2004-01-01	THAILAND	DENV2	01646	04
DENV2/THAILAND/2011/00045/11	2011-01-01	THAILAND	DENV2	00045	11
DENV2/THAILAND/2006/02393/06	2006-01-01	THAILAND	DENV2	02393	06
DENV2/THAILAND/2006/00586/06	2006-01-01	THAILAND	DENV2	00586	06
DENV2/THAILAND/2006/00697/06	2006-01-01	THAILAND	DENV2	00697	06
DENV2/THAILAND/2013/00269/13	2013-01-01	THAILAND	DENV2	00269	13
DENV2/THAILAND/2010/01066/10	2010-01-01	THAILAND	DENV2	01066	10
DENV2/THAILAND/2011/01429/11	2011-01-01	THAILAND	DENV2	01429	11
DENV2/THAILAND/2012/01090/12	2012-01-01	THAILAND	DENV2	01090	12
DENV2/THAILAND/2011/00828/11	2011-01-01	THAILAND	DENV2	00828	11
DENV2/THAILAND/2005/01465/05	2005-01-01	THAILAND	DENV2	01465	05
DENV2/THAILAND/2006/00289/06	2006-01-01	THAILAND	DENV2	00289	06
DENV2/THAILAND/2006/01929/06	2006-01-01	THAILAND	DENV2	01929	06
DENV2/THAILAND/2006/02182/06	2006-01-01	THAILAND	DENV2	02182	06
DENV2/THAILAND/2006/02660/06	2006-01-01	THAILAND	DENV2	02660	06
DENV2/THAILAND/2012/00009/12	2012-01-01	THAILAND	DENV2	00009	12
DENV2/THAILAND/2013/00078/13	2013-01-01	THAILAND	DENV2	00078	13
DENV2/THAILAND/2013/00280/13	2013-01-01	THAILAND	DENV2	00280	13
DENV2/THAILAND/2012/00669/12	2012-01-01	THAILAND	DENV2	00669	12
DENV2/THAILAND/2012/00741/12	2012-01-01	THAILAND	DENV2	00741	12
DENV2/THAILAND/2010/00911/10	2010-01-01	THAILAND	DENV2	00911	10
DENV2/THAILAND/2010/01449/10	2010-01-01	THAILAND	DENV2	01449	10
DENV2/THAILAND/2012/00273/12	2012-01-01	THAILAND	DENV2	00273	12
DENV2/THAILAND/2012/00795/12	2012-01-01	THAILAND	DENV2	00795	12
DENV2/THAILAND/2006/00111/06	2006-01-01	THAILAND	DENV2	00111	06
DENV2/THAILAND/2007/00938/07	2007-01-01	THAILAND	DENV2	00938	07
DENV2/THAILAND/2012/00118/12	2012-01-01	THAILAND	DENV2	00118	12
DENV2/THAILAND/2011/00220/11	2011-01-01	THAILAND	DENV2	00220	11
DENV2/THAILAND/2010/01340/10	2010-01-01	THAILAND	DENV2	01340	10
DENV2/THAILAND/2011/00753/11	2011-01-01	THAILAND	DENV2	00753	11
DENV2/THAILAND/2010/01549/10	2010-01-01	THAILAND	DENV2	01549	10
DENV2/THAILAND/2011/00556/11	2011-01-01	THAILAND	DENV2	00556	11
DENV2/THAILAND/2012/00144/12	2012-01-01	THAILAND	DENV2	00144	12
DENV2/THAILAND/2013/00838/13	2013-01-01	THAILAND	DENV2	00838	13
DENV2/THAILAND/2011/00825/11	2011-01-01	THAILAND	DENV2	00825	11
DENV2/THAILAND/2012/00826/12	2012-01-01	THAILAND	DENV2	00826	12
DENV2/THAILAND/2013/00225/13	2013-01-01	THAILAND	DENV2	00225	13
DENV2/THAILAND/2013/00662/13	2013-01-01	THAILAND	DENV2	00662	13
DENV2/THAILAND/2011/00647/11	2011-01-01	THAILAND	DENV2	00647	11
DENV2/THAILAND/2012/00478/12	2012-01-01	THAILAND	DENV2	00478	12
DENV2/THAILAND/2012/01092/12	2012-01-01	THAILAND	DENV2	01092	12
DENV2/THAILAND/2012/01113/12	2012-01-01	THAILAND	DENV2	01113	12
DENV2/THAILAND/2012/00376/12	2012-01-01	THAILAND	DENV2	00376	12
DENV2/THAILAND/2011/00331/11	2011-01-01	THAILAND	DENV2	00331	11
DENV2/THAILAND/2010/01206/10	2010-01-01	THAILAND	DENV2	01206	10
DENV2/THAILAND/2010/01363/10	2010-01-01	THAILAND	DENV2	01363	10
DENV2/THAILAND/2007/02195/07	2007-01-01	THAILAND	DENV2	02195	07
DENV2/THAILAND/2004/01218/04	2004-01-01	THAILAND	DENV2	01218	04
DENV2/THAILAND/2006/01625/06	2006-01-01	THAILAND	DENV2	01625	06
DENV2/CAMBODIA/2007/FJ639717	2007-01-01	CAMBODIA	DENV2	FJ639717	.
DENV2/CAMBODIA/2008/GQ868638	2008-01-01	CAMBODIA	DENV2	GQ868638	.
DENV2/THAILAND/2011/00322/11	2011-01-01	THAILAND	DENV2	00322	11
DENV2/THAILAND/2011/01454/11	2011-01-01	THAILAND	DENV2	01454	11
DENV2/THAILAND/2007/02071/07	2007-01-01	THAILAND	DENV2	02071	07
DENV2/CAMBODIA/2007/GU131927	2007-01-01	CAMBODIA	DENV2	GU131927	.
DENV2/THAILAND/2013/01726/13	2013-01-01	THAILAND	DENV2	01726	13
DENV2/THAILAND/1999/00015/99	1999-01-01	THAILAND	DENV2	00015	99
DENV2/THAILAND/1998/06814/98	1998-01-01	THAILAND	DENV2	06814	98
DENV2/THAILAND/1998/01376/98	1998-01-01	THAILAND	DENV2	01376	98
DENV2/THAILAND/1998/01565/98	1998-01-01	THAILAND	DENV2	01565	98
DENV2/THAILAND/1999/03333/99	1999-01-01	THAILAND	DENV2	03333	99
DENV2/THAILAND/1998/00458/98	1998-01-01	THAILAND	DENV2	00458	98
DENV2/THAILAND/2002/00035/02	2002-01-01	THAILAND	DENV2	00035	02
DENV2/THAILAND/2001/04957/01	2001-01-01	THAILAND	DENV2	04957	01
DENV2/THAILAND/2000/01368/00	2000-01-01	THAILAND	DENV2	01368	00
DENV2/THAILAND/2000/00380/00	2000-01-01	THAILAND	DENV2	00380	00
DENV2/THAILAND/2000/00430/00	2000-01-01	THAILAND	DENV2	00430	00
DENV2/THAILAND/2000/01249/00	2000-01-01	THAILAND	DENV2	01249	00
DENV2/THAILAND/1999/02866/99	1999-01-01	THAILAND	DENV2	02866	99
DENV2/THAILAND/1999/03510/99	1999-01-01	THAILAND	DENV2	03510	99
DENV2/THAILAND/2000/05888/00	2000-01-01	THAILAND	DENV2	05888	00
DENV2/THAILAND/2001/04493/01	2001-01-01	THAILAND	DENV2	04493	01
DENV2/THAILAND/2001/02860/01	2001-01-01	THAILAND	DENV2	02860	01
DENV2/THAILAND/2001/05819/01	2001-01-01	THAILAND	DENV2	05819	01
DENV2/THAILAND/2000/01695/00	2000-01-01	THAILAND	DENV2	01695	00
DENV2/THAILAND/1997/00112/97	1997-01-01	THAILAND	DENV2	00112	97
DENV2/THAILAND/1996/00945/96	1996-01-01	THAILAND	DENV2	00945	96
DENV2/THAILAND/1996/01431/96	1996-01-01	THAILAND	DENV2	01431	96
DENV2/THAILAND/1996/02199/96	1996-01-01	THAILAND	DENV2	02199	96
DENV2/THAILAND/1996/01181/96	1996-01-01	THAILAND	DENV2	01181	96
DENV2/THAILAND/1997/06036/97	1997-01-01	THAILAND	DENV2	06036	97
DENV2/THAILAND/1997/07537/97	1997-01-01	THAILAND	DENV2	07537	97
DENV2/THAILAND/1998/07035/98	1998-01-01	THAILAND	DENV2	07035	98
DENV2/THAILAND/1998/00672/98	1998-01-01	THAILAND	DENV2	00672	98
DENV2/THAILAND/1997/04732/97	1997-01-01	THAILAND	DENV2	04732	97
DENV2/THAILAND/1995/00672/95	1995-01-01	THAILAND	DENV2	00672	95
DENV2/THAILAND/1995/00895/95	1995-01-01	THAILAND	DENV2	00895	95
DENV2/THAILAND/1995/00925/95	1995-01-01	THAILAND	DENV2	00925	95
DENV2/THAILAND/1995/01019/95	1995-01-01	THAILAND	DENV2	01019	95
DENV2/THAILAND/1998/06328/98	1998-01-01	THAILAND	DENV2	06328	98
DENV2/THAILAND/1999/05539/99	1999-01-01	THAILAND	DENV2	05539	99
DENV2/THAILAND/1997/03412/97	1997-01-01	THAILAND	DENV2	03412	97
