strain	date	country	genotype	accession	extra
DENV2/NEWGUINEA/1944/NEWGUINEAC	1944-01-01	NEWGUINEA	DENV2	NEWGUINEAC	.
DENV2/THAILAND/2004/00004/04	2004-01-01	THAILAND	DENV2	00004	04
DENV2/THAILAND/2003/02148/03	2003-01-01	THAILAND	DENV2	02148	03
DENV2/THAILAND/2002/00060/02	2002-01-01	THAILAND	DENV2	00060	02
DENV2/THAILAND/2002/00675/02	2002-01-01	THAILAND	DENV2	00675	02
DENV2/THAILAND/2001/06793/01	2001-01-01	THAILAND	DENV2	06793	01
DENV2/THAILAND/2002/00074/02	2002-01-01	THAILAND	DENV2	00074	02
DENV2/THAILAND/2002/01770/02	2002-01-01	THAILAND	DENV2	01770	02
DENV2/THAILAND/2001/05015/01	2001-01-01	THAILAND	DENV2	05015	01
DENV2/THAILAND/2003/01082/03	2003-01-01	THAILAND	DENV2	01082	03
DENV2/THAILAND/2002/03165/02	2002-01-01	THAILAND	DENV2	03165	02
DENV2/THAILAND/2001/05012/01	2001-01-01	THAILAND	DENV2	05012	01
DENV2/THAILAND/2001/05042/01	2001-01-01	THAILAND	DENV2	05042	01
DENV2/THAILAND/2000/05855/00	2000-01-01	THAILAND	DENV2	05855	00
DENV2/THAILAND/2000/06060/00	2000-01-01	THAILAND	DENV2	06060	00
DENV2/THAILAND/2001/06096/01	2001-01-01	THAILAND	DENV2	06096	01
DENV2/THAILAND/1996/00020/96	1996-01-01	THAILAND	DENV2	00020	96
DENV2/THAILAND/1995/01636/95	1995-01-01	THAILAND	DENV2	01636	95
DENV2/THAILAND/1995/00309/95	1995-01-01	THAILAND	DENV2	00309	95
DENV2/THAILAND/1994/00612/94	1994-01-01	THAILAND	DENV2	00612	94
DENV2/THAILAND/2000/00077/00	2000-01-01	THAILAND	DENV2	00077	00
DENV2/THAILAND/2000/00333/00	2000-01-01	THAILAND	DENV2	00333	00
DENV2/THAILAND/2000/05529/00	2000-01-01	THAILAND	DENV2	05529	00
DENV2/THAILAND/2001/03921/01	2001-01-01	THAILAND	DENV2	03921	01
DENV2/THAILAND/2001/04839/01	2001-01-01	THAILAND	DENV2	04839	01
DENV2/THAILAND/2001/03564/01	2001-01-01	THAILAND	DENV2	03564	01
DENV2/THAILAND/1998/00309/98	1998-01-01	THAILAND	DENV2	00309	98
DENV2/THAILAND/1998/00441/98	1998-01-01	THAILAND	DENV2	00441	98
DENV2/THAILAND/1998/00554/98	1998-01-01	THAILAND	DENV2	00554	98
DENV2/THAILAND/1997/00494/97	1997-01-01	THAILAND	DENV2	00494	97
DENV2/THAILAND/1998/00443/98	1998-01-01	THAILAND	DENV2	00443	98
DENV2/THAILAND/1996/00742/96	1996-01-01	THAILAND	DENV2	00742	96
DENV2/THAILAND/1995/00759/95	1995-01-01	THAILAND	DENV2	00759	95
DENV2/THAILAND/1995/00856/95	1995-01-01	THAILAND	DENV2	00856	95
DENV2/THAILAND/1998/06650/98	1998-01-01	THAILAND	DENV2	06650	98
DENV2/THAILAND/1999/03680/99	1999-01-01	THAILAND	DENV2	03680	99
DENV2/THAILAND/1998/06902/98	1998-01-01	THAILAND	DENV2	06902	98
DENV2/THAILAND/1996/01865/96	1996-01-01	THAILAND	DENV2	01865	96
DENV2/THAILAND/1998/00800/98	1998-01-01	THAILAND	DENV2	00800	98
DENV2/THAILAND/1996/02234/96	1996-01-01	THAILAND	DENV2	02234	96
