strain	date	region	country	division	genotype	lineage
hDenV2/Colombia/un-UDEA-338/2007	2007	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-3986/2007	2007	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-6075/2006	2006	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-14025/2002	2002	South America	Colombia		III	2III
hDenV2/Colombia/un-UDEA-311082/2010	2010	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-456521/2016	2016	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-18975/2001	2001	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-080/2004	2004	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-051/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-053/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-095/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-109/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-200/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-427305/2013	2013	South America	Colombia		III	2III_D.1.2
hDenV2/Colombia/un-UDEA-121063/2010	2010	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-122129/2010	2010	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-AC37/2015	2015	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-MIT1134/2007	2007	South America	Colombia		III/III	2III/2III_D
hDenV2/Colombia/un-UDEA-MIT1130/2001	2001	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-8496/2007	2007	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-468118/2016	2016	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-449277/2015	2015	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-446765/2015	2015	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-AC79/2015	2015	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-MIT1084/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-MIT1086/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-015/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-450433/2015	2015	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-210/2005	2005	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-UDEA-17942/2002	2002	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UDEA-16173/2002	2002	South America	Colombia		III	2III_D.3
hDenV2/Colombia/un-UNICORDOBA-34/2021	2021-11-20	South America	Colombia		III	2III_D.2
hDenV2/Colombia/SAN-UIS-02/2005	2005	South America	Colombia	Santander	III	2III_D.2
hDenV2/Colombia/un-OUCRU-260/2013	2013	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-OUCRU-259/2012	2012	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-OUCRU-261/2012	2012	South America	Colombia		III	2III_D.3
hDenV2/Colombia/GUV-INS-476747/2016	2016	South America	Colombia	Guaviare	III	2III_D.2
hDenV2/Colombia/TOL-INS-479622/2016	2016-05-15	South America	Colombia	Tolima	III	2III_D.3
hDenV2/Colombia/un-INS-480592/2016	2016-05-29	South America	Colombia		III	2III_D.3
hDenV2/Colombia/CAS-INS-484771/2016	2016-08-16	South America	Colombia	Casanare	III	2III_D.2
hDenV2/Colombia/un-INS-484925/2016	2016-07-14	South America	Colombia		III	2III_D.2
hDenV2/Colombia/CAS-INS-484926/2016	2016-07-22	South America	Colombia	Casanare	III	2III_D.2
hDenV2/Colombia/un-INS-484927/2016	2016-07-22	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-INS-484928/2016	2016-07-22	South America	Colombia		III	2III_D.2
hDenV2/Colombia/HUI-INS-484975/2016	2016-08-18	South America	Colombia	Huila	III	2III_D.3
hDenV2/Colombia/HUI-INS-484978/2016	2016-08-23	South America	Colombia	Huila	III	2III_D.3
hDenV2/Colombia/NSA-INS-484995/2016	2016-08-18	South America	Colombia	Norte de Santander	III	2III_D.2
hDenV2/Colombia/un-INS-462966/2016	2016-01-28	South America	Colombia		III	2III_D.3
hDenV2/Colombia/ARA-INS-457058/2016	2016-01-04	South America	Colombia	Arauca	III	2III_D.2
hDenV2/Colombia/un-INS-468118/2016	2016-01-16	South America	Colombia		III	2III_D.3
hDenV2/Colombia/TOL-INS-425817/2013	2013-08-06	South America	Colombia	Tolima	III	2III_D.3
hDenV2/Colombia/MET-INS-422091/2013	2013-02-23	South America	Colombia	Meta	III	2III_D.2
hDenV2/Colombia/CAU-INS-422641/2013	2013-03-24	South America	Colombia	Cauca	III	2III_D.3
hDenV2/Colombia/PUT-INS-423887/2013	2013-04-20	South America	Colombia	Putumayo	III	2III_D.3
hDenV2/Colombia/PUT-INS-425334/2013	2013-07-09	South America	Colombia	Putumayo	III	2III_D.3
hDenV2/Colombia/HUI-INS-452018/2015	2015-11-01	South America	Colombia	Huila	III	2III_D.3
hDenV2/Colombia/TOL-INS-427493/2013	2013-10-26	South America	Colombia	Tolima	III	2III_D.3
hDenV2/Colombia/CAL-INS-427516/2013	2013	South America	Colombia	Caldas	III	2III_D.3
hDenV2/Colombia/TOL-INS-428702/2014	2014-01-14	South America	Colombia	Tolima	III	2III_D.3
hDenV2/Colombia/MET-INS-434321/2014	2014-09-18	South America	Colombia	Meta	III	2III_D.3
hDenV2/Colombia/RIS-INS-449277/2015	2015-08-20	South America	Colombia	Risaralda	III	2III_D.3
hDenV2/Colombia/HUI-INS-449308/2015	2015	South America	Colombia	Huila	III	2III_D.3
hDenV2/Colombia/TOL-INS-449418/2015	2015-08-25	South America	Colombia	Tolima	III	2III_D.3
hDenV2/Colombia/PUT-INS-449510/2015	2015-09-05	South America	Colombia	Putumayo	III	2III_D.3
hDenV2/Colombia/HUI-INS-449618/2015	2015	South America	Colombia	Huila	III	2III_D.3
hDenV2/Colombia/HUI-INS-450024/2015	2015	South America	Colombia	Huila	III	2III_D.3
hDenV2/Colombia/un-INS-450446/2015	2015	South America	Colombia		III	2III_D.2
hDenV2/Colombia/CUN-INS-425819/2013	2013-08-07	South America	Colombia	Cundinamarca	III	2III_D.3
hDenV2/Colombia/COR-UNICORDOBA-23/2021	2021-11-11	South America	Colombia	Cordoba	III	2III_D.2
hDenV2/Colombia/un-Yale-DH158/2006	2006-01-01	South America	Colombia		III	2III_D.2
hDenV2/Colombia/MET-UR-207/2023	2023-05-01	South America	Colombia	Meta	II	2II_F.1.1.2
hDenV2/Colombia/MET-UR-237/2023	2023-05-03	South America	Colombia	Meta	II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1268/2023	2023-02-07	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1208/2022	2022-11-30	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1145/2022	2022-10-28	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1260/2023	2023-02-01	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1262/2023	2023-02-02	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1125/2022	2022-10-15	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1127/2022	2022-10-19	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1205/2022	2022-11-30	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1232/2022	2022-12-15	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1199/2022	2022-11-25	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1259/2023	2023-02-01	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1287/2023	2023-02-10	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1270/2023	2023-02-08	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1209/2022	2022-11-30	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1160/2022	2022-11-04	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1269/2023	2023-02-08	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1206/2022	2022-11-30	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1202/2022	2022-11-26	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1172/2022	2022-11-10	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1225/2022	2022-12-13	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1282/2023	2023-02-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-35H/2022	2022-05-18	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1266/2023	2023-02-03	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1153/2022	2022-11-04	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1142/2022	2022-10-27	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1120/2022	2022-10-13	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1147/2022	2022-10-28	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1146/2022	2022-10-28	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1185/2022	2022-11-23	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1251/2023	2023-01-06	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1275/2023	2023-02-08	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-2395/2022	2022-12-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1235/2022	2022-12-17	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1191/2022	2022-11-22	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1170/2022	2022-11-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1181/2022	2022-11-17	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1193/2022	2022-11-21	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-1114/2022	2022-10-11	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1198/2022	2022-11-25	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1184/2022	2022-11-21	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1222/2022	2022-12-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-UDEA-LET1286/2023	2023-02-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2306881/2023	2023-08-18	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2307182/2023	2023-08-27	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2306464/2023	2023-08-13	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-08431-2-VI/2023	2023-10-03	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-08912-2-VI/2023	2023-10-18	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-02903-VI/2023	2023-04-14	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-06054-VI/2023	2023-08-03	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-00716-VI/2023	2023-02-05	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-06002-VI/2023	2023-08-01	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-09410-2-VI/2023	2023-10-24	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/MET-NFDCN-CIMBIUR_207/2023	2023-05-01	South America	Colombia	Meta	II	2II_F.1.1.2
hDenV2/Colombia/MET-NFDCN-CIMBIUR_237/2023	2023-05-03	South America	Colombia	Meta	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2401760/2024	2024-01-02	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2401890/2024	2024-01-29	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2402026/2024	2024-02-04	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2402223/2024	2024-02-05	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2402318/2024	2024-01-31	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2403818/2024	2024-03-10	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2404023/2024	2024-03-07	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2404285/2024	2024-03-07	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2404315/2024	2024-03-07	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2404473/2024	2024-03-19	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2404593/2024	2024-03-13	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2404621/2024	2024-03-03	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2404626/2024	2024-03-04	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2404756/2024	2024-03-25	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2404785/2024	2024-03-28	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405056/2024	2024-03-25	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405259/2024	2024-04-05	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2405317/2024	2024-03-21	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405372/2024	2024-04-01	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405472/2024	2024-04-03	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405501/2024	2024-03-13	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405518/2024	2024-04-11	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2405522/2024	2024-04-11	South America	Colombia	Valle del Cauca	II	2II_F.1.1.2
hDenV2/Colombia/VAC-LSPVAC-2405558/2024	2024-04-11	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2405576/2024	2024-03-18	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/un-Yale-DN02565/2024	2024-02-24	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02326/2023	2023-07-14	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02516/2024	2024-01-27	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02538/2024	2024-02-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02366/2023	2023-08-31	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02372/2023	2023-09-08	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02417/2023	2023-10-24	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02338/2023	2023-07-29	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02543/2024	2024-02-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02566/2024	2024-02-23	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02466/2023	2023-12-19	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02547/2024	2024-02-15	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02370/2023	2023-09-03	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02485/2024	2024-01-09	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02542/2024	2024-02-12	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02431/2023	2023-11-16	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02567/2024	2024-02-25	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02428/2023	2023-11-12	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02444/2023	2023-11-25	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02574/2024	2024-03-01	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02356/2023	2023-08-18	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02525/2024	2024-01-25	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02409/2023	2023-10-13	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02410/2023	2023-10-19	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02568/2024	2024-02-29	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02554/2024	2024-02-19	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02572/2024	2024-03-01	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02434/2023	2023-11-20	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02519/2024	2024-01-30	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02534/2024	2024-02-06	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02494/2024	2024-01-13	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02518/2024	2024-01-30	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02473/2023	2023-12-28	South America	Colombia		II	2II_F.1.1.2
hDenV2/Colombia/un-Yale-DN02520/2024	2024-01-31	South America	Colombia		III	2III_D.2
hDenV2/Colombia/un-Yale-DN02524/2024	2024-01-30	South America	Colombia		III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2406410-VI/2024	2024-04-25	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2406559-VI/2024	2024-04-18	South America	Colombia	Valle del Cauca	III	2III_D.2
hDenV2/Colombia/VAC-LSPVAC-2406796-VI/2024	2024-05-15	South America	Colombia	Valle del Cauca	III	2III_D.2
