strain	date	region	country	division
hDenV1/Colombia/un-OUCRU-0000006/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000005/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000003/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000014/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000040/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000043/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000045/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000046/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000048/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000023/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000049/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000087/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000088/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000090/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000092/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000093/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000095/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000096/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000081/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000052/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000053/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000060/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000061/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000063/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000068/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000069/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000070/2012	2012	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000074/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000075/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-0000076/2013	2013	South America	Colombia	
hDenV1/Colombia/un-CDC-002/2007	2007	South America	Colombia	
hDenV1/Colombia/NSA-UIS-00011/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00012/2005	2005	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00009/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00007/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00010/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00045/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00008/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00044/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00036/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00027/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00028/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00030/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00031/2004	2004	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00046/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00034/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00033/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00014/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00026/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00024/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00037/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00015/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00016/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00013/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00051/2002	2002	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00039/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00038/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00040/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00017/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00025/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00029/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00035/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00018/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00006/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/NSA-UIS-00005/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00004/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00003/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00050/2001	2001	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00002/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00001/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/SAN-UIS-00019/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00042/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00022/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00043/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00021/2007	2007	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00041/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00023/2008	2008	South America	Colombia	Santander
hDenV1/Colombia/NSA-UIS-00020/2006	2006	South America	Colombia	Norte de Santander
hDenV1/Colombia/SAN-UIS-00032/2007	2007	South America	Colombia	Santander
DenV1/un/Colombia/un-UniNorte-1/2001	2001	South America	Colombia	
hDenV1/Colombia/un-OUCRU-523/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-521/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-520/2012	2012	South America	Colombia	
