strain	country	genotype	accession	extra
2000.071	BKK	2V	00077/00	.
2000.115	KPP	2V	30019/00	.
2000.15	BKK	2V	00188/00	.
2000.175	KPP	2V	30038/00	.
2000.251	BKK	2V	00333/00	.
2000.26	BKK	2V	00342/00	.
2000.29	BKK	2V	00380/00	.
2000.336	BKK	2V	00430/00	.
2000.377	BKK	2V	01249/00	.
2000.413	BKK	2V	01326/00	.
2000.443	BKK	2V	01368/00	.
2000.47	KPP	2V	30140/00	.
2000.5	KPP	2V	30173/00	.
2000.5_2	Philippines	2IV	KF744400	.
2000.514	KPP	2V	30182/00	.
2000.53	BKK	2V	01559/00	.
2000.53_2	KPP	2V	30209/00	.
2000.544	KPP	2V	30232/00	.
2000.56	KPP	2V	30243/00	.
2000.566	BKK	2V	01636/00	.
2000.582	BKK	2V	01667/00	.
2000.582_2	BKK	2V	01695/00	.
2000.604	BKK	2V	01754/00	.
2000.612	KPP	2V	30292/00	.
2000.612_2	KPP	2V	30299/00	.
2000.631	BKK	2V	01899/00	.
2000.653	KPP	2V	30338/00	.
2000.667	BKK	2V	02022/00	.
2000.699	BKK	2V	02113/00	.
2000.708	KPP	2V	30392/00	.
2000.719	BKK	2V	02164/00	.
2000.727	BKK	2V	02180/00	.
2000.738	BKK	2V	02212/00	.
2000.757	BKK	2V	02247/00	.
2000.784	BKK	2V	04842/00	.
2000.806	KPP	2V	30460/00	.
2000.833	BKK	2V	05492/00	.
2000.833_2	BKK	2V	05493/00	.
2000.839	BKK	2V	05511/00	.
2000.839_2	BKK	2V	05512/00	.
2000.839_3	KPP	2V	30499/00	.
2000.85	BKK	2V	05529/00	.
2000.888	BKK	2V	05692/00	.
2000.934	BKK	2V	05855/00	.
2000.94	BKK	2V	05882/00	.
2000.943	BKK	2V	05888/00	.
2000.948	BKK	2V	05894/00	.
2000.967	KPP	2V	30562/00	.
2000.97	BKK	2V	06009/00	.
2000.973	BKK	2V	06013/00	.
2000.984	BKK	2V	06060/00	.
2000.989	BKK	2V	06109/00	.
2001.014	BKK	2V	00017/01	.
2001.038	KPP	2V	30012/01	.
2001.044	BKK	2V	00135/01	.
2001.058	BKK	2V	00193/01	.
2001.079	BKK	2V	00285/01	.
2001.09	BKK	2V	00345/01	.
2001.142	BKK	2V	00615/01	.
2001.142_2	Thailand	2V	FJ639829	.
2001.142_3	Thailand	2V	FJ687444	.
2001.159	Thailand	2V	FJ687445	.
2001.164	BKK	2V	00721/01	.
2001.192	Thailand	2V	FJ810410	.
2001.208	Thailand	2V	FJ687446	.
2001.225	KPP	2V	30325/01	.
2001.238	BKK	2V	01026/01	.
2001.315	BKK	2V	02860/01	.
2001.323	BKK	2V	02900/01	.
2001.323_2	Thailand	2V	FJ639830	.
2001.326	BKK	2V	02913/01	.
2001.334	KPP	2V	30839/01	.
2001.381	KPP	2V	30967/01	.
2001.381_2	Thailand	2V	FJ744714	.
2001.386	BKK	2V	03244/01	.
2001.403	KPP	2V	31045/01	.
2001.408	KPP	2V	31053/01	.
2001.414	KPP	2V	31072/01	.
2001.433	KPP	2V	31217/01	.
2001.436	Thailand	2V	FJ687435	.
2001.436_2	Thailand	2V	FJ744715	.
2001.444	BKK	2V	03564/01	.
2001.444_2	Thailand	2V	FJ687447	.
2001.449	Thailand	2V	FJ639832	.
2001.452	BKK	2V	03600/01	.
2001.46	KPP	2V	31413/01	.
2001.463	Thailand	2V	FJ744713	.
2001.466	BKK	2V	03693/01	.
2001.468	Thailand	2V	FJ744720	.
2001.474	Thailand	2V	FJ744721	.
2001.477	KPP	2V	31555/01	.
