taxon,date
hDenV1_Colombia_un-Yale-DN02730_2024_EPI_ISL_19682288_2024-04-07,2024.2658
hDenV1_Colombia_un-OUCRU-101229_2013_EPI_ISL_17410892_2013,2013.5000
hDenV1_Colombia_un-OUCRU-332_2013_EPI_ISL_17610653_2013,2013.5000
hDenV1_Colombia_un-OUCRU-103_2013_EPI_ISL_17410862_2013,2013.5000
hDenV1_Colombia_un-OUCRU-353_2013_EPI_ISL_17610609_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101219_2013_EPI_ISL_17410882_2013,2013.5000
hDenV1_Colombia_un-OUCRU-356_2013_EPI_ISL_17610669_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000011_2012_EPI_ISL_17439260_2012,2012.5000
hDenV1_Colombia_un-OUCRU-0000008_2013_EPI_ISL_17439263_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000088_2012_EPI_ISL_17439404_2012,2012.5000
hDenV1_Colombia_un-OUCRU-0000093_2013_EPI_ISL_17439409_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000045_2013_EPI_ISL_17439303_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000043_2013_EPI_ISL_17439301_2013,2013.5000
hDenV1_Colombia_un-OUCRU-104_2013_EPI_ISL_17410863_2013,2013.5000
hDenV1_Colombia_un-OUCRU-338_2013_EPI_ISL_17610679_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000081_2013_EPI_ISL_17439433_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000046_2013_EPI_ISL_17439304_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101253_2013_EPI_ISL_17410894_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101235_2013_EPI_ISL_17410899_2013,2013.5000
hDenV1_Colombia_un-OUCRU-133_2013_EPI_ISL_17610678_2013,2013.5000
hDenV1_Colombia_un-OUCRU-132_2013_EPI_ISL_17610705_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101245_2013_EPI_ISL_17410898_2013,2013.5000
