strain	date	region	country	division	genotype	lineage	accession	extra
DENV4/THAILAND/2007/01130/07	2007-01-01		THAILAND		DENV4		01130	07
DENV4/THAILAND/2005/00943/05	2005-01-01		THAILAND		DENV4		00943	05
DENV4/THAILAND/2005/01055/05	2005-01-01		THAILAND		DENV4		01055	05
DENV4/THAILAND/2007/01570/07	2007-01-01		THAILAND		DENV4		01570	07
DENV4/THAILAND/2008/00744/08	2008-01-01		THAILAND		DENV4		00744	08
DENV4/THAILAND/2008/02023/08	2008-01-01		THAILAND		DENV4		02023	08
DENV4/THAILAND/2007/01993/07	2007-01-01		THAILAND		DENV4		01993	07
DENV4/THAILAND/2002/02020/02	2002-01-01		THAILAND		DENV4		02020	02
DENV4/THAILAND/2005/00775/05	2005-01-01		THAILAND		DENV4		00775	05
DENV4/THAILAND/2006/00367/06	2006-01-01		THAILAND		DENV4		00367	06
DENV4/THAILAND/2005/01009/05	2005-01-01		THAILAND		DENV4		01009	05
DENV4/THAILAND/2006/02540/06	2006-01-01		THAILAND		DENV4		02540	06
DENV4/THAILAND/2009/01432/09	2009-01-01		THAILAND		DENV4		01432	09
DENV4/THAILAND/2010/00249/10	2010-01-01		THAILAND		DENV4		00249	10
DENV4/THAILAND/2007/00504/07	2007-01-01		THAILAND		DENV4		00504	07
DENV4/THAILAND/2006/01270/06	2006-01-01		THAILAND		DENV4		01270	06
DENV4/THAILAND/2006/02852/06	2006-01-01		THAILAND		DENV4		02852	06
DENV4/THAILAND/2010/01344/10	2010-01-01		THAILAND		DENV4		01344	10
DENV4/THAILAND/2010/01386/10	2010-01-01		THAILAND		DENV4		01386	10
DENV4/THAILAND/2010/01677/10	2010-01-01		THAILAND		DENV4		01677	10
DENV4/THAILAND/1995/00425/95	1995-01-01		THAILAND		DENV4		00425	95
DENV4/THAILAND/1994/00329/94	1994-01-01		THAILAND		DENV4		00329	94
DENV4/THAILAND/1993/02838/93	1993-01-01		THAILAND		DENV4		02838	93
DENV4/THAILAND/2010/00283/10	2010-01-01		THAILAND		DENV4		00283	10
DENV4/THAILAND/2004/01639/04	2004-01-01		THAILAND		DENV4		01639	04
DENV4/THAILAND/2006/01881/06	2006-01-01		THAILAND		DENV4		01881	06
DENV4/THAILAND/1985/D85-052	1985-01-01		THAILAND		DENV4		D85-052	.
DENV4/THAILAND/1997/00049/97	1997-01-01		THAILAND		DENV4		00049	97
DENV4/THAILAND/1996/01626/96	1996-01-01		THAILAND		DENV4		01626	96
DENV4/THAILAND/1997/02739/97	1997-01-01		THAILAND		DENV4		02739	97
DENV4/THAILAND/2005/00646/05	2005-01-01		THAILAND		DENV4		00646	05
DENV4/THAILAND/1999/04390/99	1999-01-01		THAILAND		DENV4		04390	99
DENV4/THAILAND/1998/04634/98	1998-01-01		THAILAND		DENV4		04634	98
DENV4/THAILAND/1998/04786/98	1998-01-01		THAILAND		DENV4		04786	98
DENV4/THAILAND/2001/00886/01	2001-01-01		THAILAND		DENV4		00886	01
DENV4/THAILAND/2001/04094/01	2001-01-01		THAILAND		DENV4		04094	01
DENV4/MALAYSIA/1973/P73-1120	1973-01-01		MALAYSIA		DENV4		P73-1120	.
