strain	date	region	country	division	genotype	lineage
hDenV3/Colombia/un-OUCRU-0000112/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000084/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000083/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000054/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000055/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000056/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000057/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000059/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-0000079/2013	2013	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-OUCRU-0000082/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-CDC-029/2007	2007	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00010/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00012/2004	2004	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00003/2001	2001	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00013/2004	2004	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00015/2006	2006	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00007/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00017/2007	2007	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-CIET-00009/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00019/2004	2004	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-CIET-00011/2004	2004	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00016/2006	2006	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00018/2007	2007	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00002/2001	2001	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00006/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00005/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00004/2002	2002	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00023/2006	2006	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00014/2005	2005	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00022/2002	2002	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00008/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-CIET-00020/2005	2005	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-UWM-7370/2006	2006	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-UWM-5952/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-UWM-28888/2006	2006	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-UWM-2836/2003	2003	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-UWM-2731/2007	2007	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-UWM-JAC/2009	2009	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-UWM-2754/2007	2007	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-UWM-6003/2007	2007	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-UWM-5379/2003	2003	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-UWM-12363/2005	2005	South America	Colombia		III	3III_C.2
hDenV3/Colombia/SAN-BROAD-2978/2001	2001	South America	Colombia	Santander	III	3III_C.1
hDenV3/Colombia/un-OUCRU-605/2013	2013	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-OUCRU-603/2012	2012	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-INS-449255/2015	2015-06-30	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-INS-449241/2015	2015-08-17	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-INS-449334/2015	2015-08-21	South America	Colombia		III	3III_C.1
hDenV3/Colombia/RIS-INS-449499/2015	2015	South America	Colombia	Risaralda	III	3III_C.1
hDenV3/Colombia/RIS-INS-449683/2015	2015-09-05	South America	Colombia	Risaralda	III	3III_C.2
hDenV3/Colombia/RIS-INS-449959/2015	2015-09-15	South America	Colombia	Risaralda	III	3III_C.1
hDenV3/Colombia/CAS-INS-450397/2015	2015	South America	Colombia	Casanare	III	3III_C.2
hDenV3/Colombia/CAS-INS-458997/2015	2015	South America	Colombia	Casanare	III	3III_C.1
hDenV3/Colombia/RIS-INS-459860/2016	2016-01-21	South America	Colombia	Risaralda	III	3III_C.2
hDenV3/Colombia/RIS-INS-476944/2016	2016-04-26	South America	Colombia	Risaralda	III	3III_C.2
hDenV3/Colombia/RIS-INS-483948/2016	2016-07-20	South America	Colombia	Risaralda	III	3III_C.2
hDenV3/Colombia/un-INS-484832/2016	2016-08-05	South America	Colombia		III	3III_C.2
hDenV3/Colombia/RIS-INS-449326/2015	2015-08-27	South America	Colombia	Risaralda	III	3III_C.2
hDenV3/Colombia/un-Yale-DH163/2003	2003-01-01	South America	Colombia		III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2306902/2023	2023-09-02	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2306512/2023	2023-08-20	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2306514/2023	2023-08-20	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-06323-VI/2023	2023-08-05	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-06340-VI/2023	2023-08-08	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-06515-VI/2023	2023-08-18	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-06576-VI/2023	2023-08-19	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-08356-2-VI/2023	2023-10-09	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-08627-2-VI/2023	2023-10-11	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-08706-2-VI/2023	2023-10-16	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-08766-2-VI/2023	2023-10-17	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-08909-2-VI/2023	2023-10-14	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-05877-VI/2023	2023-07-25	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-06427-VI/2023	2023-08-15	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2400189/2024	2023-12-25	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2401605/2024	2024-01-17	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2401928/2024	2024-02-02	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2402565/2024	2024-02-05	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2402603/2024	2024-02-09	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2402864/2024	2024-02-22	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2404366/2024	2024-03-12	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2404622/2024	2024-03-03	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2404889/2024	2024-03-20	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2405830/2024	2024-04-21	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/un-Yale-DN02335/2023	2023-07-26	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02576/2024	2024-03-03	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02433/2023	2023-11-19	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02322/2023	2023-04-24	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02580/2024	2024-03-04	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02396/2023	2023-09-30	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02422/2023	2023-11-06	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02369/2023	2023-09-02	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02343/2023	2023-08-05	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02415/2023	2023-10-21	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02411/2023	2023-10-23	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02341/2023	2023-08-02	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02469/2023	2023-12-19	South America	Colombia		III	3III_C.1
